"entidad","nom_abr","cve_ent","municipio","cve_mun"
"Guerrero","Gro.",12,"Atlamajalcingo del Monte","12_9"
"Guerrero","Gro.",12,"Atlixtac","12_10"
"Guerrero","Gro.",12,"Atoyac de Álvarez","12_11"
"Guerrero","Gro.",12,"Ayutla de los Libres","12_12"
"Guerrero","Gro.",12,"Azoyú","12_13"
"Guerrero","Gro.",12,"Benito Juárez","12_14"
"Guerrero","Gro.",12,"Buenavista de Cuéllar","12_15"
"Guerrero","Gro.",12,"Coahuayutla de José María Izazaga","12_16"
"Guerrero","Gro.",12,"Cocula","12_17"
"Guerrero","Gro.",12,"Copala","12_18"
"Guerrero","Gro.",12,"Copalillo","12_19"
"Guerrero","Gro.",12,"Copanatoyac","12_20"
"Guerrero","Gro.",12,"Coyuca de Benítez","12_21"
"Guerrero","Gro.",12,"Coyuca de Catalán","12_22"
"Guerrero","Gro.",12,"Cuajinicuilapa","12_23"
"Guerrero","Gro.",12,"Cualác","12_24"
"Guerrero","Gro.",12,"Cuautepec","12_25"
"Guerrero","Gro.",12,"Cuetzala del Progreso","12_26"
"Guerrero","Gro.",12,"Cutzamala de Pinzón","12_27"
"Guerrero","Gro.",12,"Chilapa de Álvarez","12_28"
"Guerrero","Gro.",12,"Chilpancingo de los Bravo","12_29"
"Guerrero","Gro.",12,"Florencio Villarreal","12_30"
"Guerrero","Gro.",12,"General Canuto A. Neri","12_31"
"Guerrero","Gro.",12,"General Heliodoro Castillo","12_32"
"Guerrero","Gro.",12,"Huamuxtitlán","12_33"
"Guerrero","Gro.",12,"Huitzuco de los Figueroa","12_34"
"Guerrero","Gro.",12,"Iguala de la Independencia","12_35"
"Guerrero","Gro.",12,"Igualapa","12_36"
"Guerrero","Gro.",12,"Ixcateopan de Cuauhtémoc","12_37"
"Guerrero","Gro.",12,"Zihuatanejo de Azueta","12_38"
"Guerrero","Gro.",12,"Juan R. Escudero","12_39"
"Guerrero","Gro.",12,"Leonardo Bravo","12_40"
"Guerrero","Gro.",12,"Malinaltepec","12_41"
"Guerrero","Gro.",12,"Mártir de Cuilapan","12_42"
"Guerrero","Gro.",12,"Metlatónoc","12_43"
"Guerrero","Gro.",12,"Mochitlán","12_44"
"Guerrero","Gro.",12,"Olinalá","12_45"
"Guerrero","Gro.",12,"Ometepec","12_46"
"Guerrero","Gro.",12,"Pedro Ascencio Alquisiras","12_47"
"Guerrero","Gro.",12,"Petatlán","12_48"
"Guerrero","Gro.",12,"Pilcaya","12_49"
"Guerrero","Gro.",12,"Pungarabato","12_50"
"Guerrero","Gro.",12,"Quechultenango","12_51"
"Guerrero","Gro.",12,"San Luis Acatlán","12_52"
"Guerrero","Gro.",12,"San Marcos","12_53"
